INFO 2026-06-17 00:41:52,688 autoreload 10152 8240 Watching for file changes with StatReloader
INFO 2026-06-17 00:48:06,222 autoreload 11808 10032 Watching for file changes with StatReloader
INFO 2026-06-17 00:58:58,962 autoreload 3248 3788 Watching for file changes with StatReloader
INFO 2026-06-17 01:00:42,691 autoreload 11072 13240 Watching for file changes with StatReloader
INFO 2026-06-17 01:01:28,840 basehttp 3248 13296 "GET /api/docs/ HTTP/1.1" 200 4644
INFO 2026-06-17 01:01:31,259 basehttp 3248 13296 "GET /api/schema/ HTTP/1.1" 200 104182
INFO 2026-06-17 01:01:48,753 basehttp 3248 13296 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-06-17 01:01:49,088 basehttp 3248 13296 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4155
INFO 2026-06-17 01:01:49,829 basehttp 3248 7508 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-06-17 01:01:49,838 basehttp 3248 7212 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2026-06-17 01:01:49,864 basehttp 3248 13296 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2026-06-17 01:01:49,939 basehttp 3248 13200 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2026-06-17 01:01:50,106 basehttp 3248 7664 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2026-06-17 01:01:50,107 basehttp 3248 7212 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-06-17 01:01:50,251 basehttp 3248 11508 "GET /static/admin/css/login.css HTTP/1.1" 200 958
WARNING 2026-06-17 01:01:51,440 log 3248 11508 Not Found: /favicon.ico
WARNING 2026-06-17 01:01:51,441 basehttp 3248 11508 "GET /favicon.ico HTTP/1.1" 404 3532
WARNING 2026-06-17 01:01:59,205 log 3248 11508 Not Found: /api/
